Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PX480256,dengue virus type 1,Orthoflavivirus denguei,1,D18-1424,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-09,2025-12-31,ssRNA(+)
PX480257,dengue virus type 1,Orthoflavivirus denguei,1,D18-1451,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-08,2025-12-31,ssRNA(+)
PX480258,dengue virus type 1,Orthoflavivirus denguei,1,D18-1530,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-12,2025-12-31,ssRNA(+)
PX480259,dengue virus type 1,Orthoflavivirus denguei,1,D18-1602,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-15,2025-12-31,ssRNA(+)
PX480260,dengue virus type 1,Orthoflavivirus denguei,1,D18-1980,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-28,2025-12-31,ssRNA(+)
PX480261,dengue virus type 1,Orthoflavivirus denguei,1,D18-2000,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-29,2025-12-31,ssRNA(+)
PX480262,dengue virus type 1,Orthoflavivirus denguei,1,D18-2011,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-20,2025-12-31,ssRNA(+)
PX480263,dengue virus type 1,Orthoflavivirus denguei,1,D18-2054,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-09-06,2025-12-31,ssRNA(+)
PX480264,dengue virus type 1,Orthoflavivirus denguei,1,D18-2238,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-09-09,2025-12-31,ssRNA(+)
PX480265,dengue virus type 1,Orthoflavivirus denguei,1,D18-2277,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-09-12,2025-12-31,ssRNA(+)
PX480266,dengue virus type 1,Orthoflavivirus denguei,1,D18-2811,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-10-20,2025-12-31,ssRNA(+)
PX480267,dengue virus type 1,Orthoflavivirus denguei,1,D18-2893,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-10-28,2025-12-31,ssRNA(+)
PX480268,dengue virus type 1,Orthoflavivirus denguei,1,D18-2935,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-11-02,2025-12-31,ssRNA(+)
PX480269,dengue virus type 1,Orthoflavivirus denguei,1,D18-3093,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-11-14,2025-12-31,ssRNA(+)
PX480270,dengue virus type 1,Orthoflavivirus denguei,1,D18-3207,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-11-19,2025-12-31,ssRNA(+)
PX480271,dengue virus type 1,Orthoflavivirus denguei,1,D19-1187,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-05-04,2025-12-31,ssRNA(+)
PX480272,dengue virus type 1,Orthoflavivirus denguei,1,D19-1191,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-02,2025-12-31,ssRNA(+)
PX480273,dengue virus type 1,Orthoflavivirus denguei,1,D19-1283,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-05-17,2025-12-31,ssRNA(+)
PX480274,dengue virus type 1,Orthoflavivirus denguei,1,D19-1288,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-05-27,2025-12-31,ssRNA(+)
PX480275,dengue virus type 1,Orthoflavivirus denguei,1,D19-1320,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-05-29,2025-12-31,ssRNA(+)
PX480276,dengue virus type 1,Orthoflavivirus denguei,1,D19-1581,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-06-24,2025-12-31,ssRNA(+)
PX480277,dengue virus type 1,Orthoflavivirus denguei,1,D19-1865,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-07-09,2025-12-31,ssRNA(+)
PX480278,dengue virus type 1,Orthoflavivirus denguei,1,D19-1893,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-07-14,2025-12-31,ssRNA(+)
PX480279,dengue virus type 1,Orthoflavivirus denguei,1,D19-1894,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-07-15,2025-12-31,ssRNA(+)
PX480280,dengue virus type 1,Orthoflavivirus denguei,1,D19-1946,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-07-24,2025-12-31,ssRNA(+)
PX480281,dengue virus type 1,Orthoflavivirus denguei,1,D19-1995,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-01,2025-12-31,ssRNA(+)
PX480282,dengue virus type 1,Orthoflavivirus denguei,1,D19-2051,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-13,2025-12-31,ssRNA(+)
PX480283,dengue virus type 1,Orthoflavivirus denguei,1,D19-2056,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-19,2025-12-31,ssRNA(+)
PX480284,dengue virus type 1,Orthoflavivirus denguei,1,D19-2088,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-10,2025-12-31,ssRNA(+)
PX480285,dengue virus type 1,Orthoflavivirus denguei,1,D19-2141,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-28,2025-12-31,ssRNA(+)
PX480286,dengue virus type 1,Orthoflavivirus denguei,1,D19-2147,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-09-02,2025-12-31,ssRNA(+)
PX480287,dengue virus type 1,Orthoflavivirus denguei,1,D19-2197,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-09-10,2025-12-31,ssRNA(+)
PX480288,dengue virus type 1,Orthoflavivirus denguei,1,D19-2202,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-09-08,2025-12-31,ssRNA(+)
PX480289,dengue virus type 1,Orthoflavivirus denguei,1,D19-2205,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-23,2025-12-31,ssRNA(+)
PX480290,dengue virus type 1,Orthoflavivirus denguei,1,D19-2251,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-09-14,2025-12-31,ssRNA(+)
PX480291,dengue virus type 1,Orthoflavivirus denguei,1,D19-2373,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-10-01,2025-12-31,ssRNA(+)
PX480292,dengue virus type 1,Orthoflavivirus denguei,1,D19-2407,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-10-08,2025-12-31,ssRNA(+)
PX480293,dengue virus type 1,Orthoflavivirus denguei,1,D19-2489,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-10-21,2025-12-31,ssRNA(+)
PX480294,dengue virus type 1,Orthoflavivirus denguei,1,D19-2607,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-11-19,2025-12-31,ssRNA(+)
PX480295,dengue virus type 1,Orthoflavivirus denguei,1,D19-2715,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-12-14,2025-12-31,ssRNA(+)
PX480296,dengue virus type 1,Orthoflavivirus denguei,1,D19-2830,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2019-08-09,2025-12-31,ssRNA(+)
PX480297,dengue virus type 1,Orthoflavivirus denguei,1,D20-0106,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2020-02-04,2025-12-31,ssRNA(+)
PX480298,dengue virus type 1,Orthoflavivirus denguei,1,D20-0130,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2020-02-05,2025-12-31,ssRNA(+)
PX480299,dengue virus type 1,Orthoflavivirus denguei,1,D21-0358,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2021-02-09,2025-12-31,ssRNA(+)
PX480300,dengue virus type 1,Orthoflavivirus denguei,1,D21-0506,10735,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2021-12-05,2025-12-31,ssRNA(+)
PX480301,dengue virus type 2,Orthoflavivirus denguei,2,D18-0217,10723,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-02-02,2025-12-31,ssRNA(+)
PX480302,dengue virus type 2,Orthoflavivirus denguei,2,D18-1111,10723,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-24,2025-12-31,ssRNA(+)
PX480303,dengue virus type 2,Orthoflavivirus denguei,2,D18-1165,10723,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-07-18,2025-12-31,ssRNA(+)
PX480304,dengue virus type 2,Orthoflavivirus denguei,2,D18-1377,10723,complete,Philippines,Homo sapiens,blood,"Sy,A.K., Rojas,S.M., Masdin,L., Phelan,J., Polotan,F.G.M., Rojas,F.Q., Quinones,M.A., Bato,J.S., Sucaldito,N.L., dela Paz,E.C., Capeding,M.R.Z., Padilla,C.D., Villanueva,S.Y., Hafalla,J.C.R., Hibberd,M.L.",2018-08-08,2025-12-31,ssRNA(+)
